id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
170,No,Ireland,Cork,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Cork, Ireland (Europe) Start Date: 08/20/2023 - End Date: 10/01/2023","Cork, Ireland",51.8978719,-8.4710874
171,No,Ireland,Dublin,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Dublin, Ireland (Europe) Start Date: 03/27/2022 - End Date: 05/07/2022","Dublin, Ireland",53.3440956,-6.2674862
172,No,Israel,Hedera,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Beit-mirkachat,,,,,,,,,,,,,Affiliation Agreement with Israel - Beit-mirkachat (The president's Pharmacy) and Nanobioengineering Lab,"Hedera, Israel",32.4374056,34.9256168
173,No,Italy,Padua,Research,Colorado School of Public Health,Epidemiology,Stephen Aichele (CSU),,,,,,,"University of Padova, IT",,,,,,,,,,,,,"Unfunded collaboration. Co-PI @University of Padova, IT","Padua, Italy",45.4095409,11.8765508
174,No,Italy,Florence,Research,Colorado School of Public Health,,Andrew Seidl (CSU),,,,,,,"Florence, IT",,,,,,,,,,,,,"Food and Resource Economics in Florence, Italy. https://myedabroad.colostate.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=11972","Florence, Italy",43.7686976,11.2569291
175,No,Italy,Rome,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Rome, Italy (Europe) Start Date: 10/08/2021 - End Date: 10/21/2021","Rome, Italy",41.8905568,12.4942679
176,No,Italy,Sorrento,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel: Sorrento, Italy (Europe) Start Date: 10/17/2022 - End Date: 10/29/2022","Sorrento, Italy",40.6263211,14.3757383
177,No,Italy,Napoli,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Rajesh Agarwal,,,,,,,"University of Napoli Federico II, Complesso Universitario",,,,,,,,,,,,,"An ongoing (for several years) active collaboration with Prof. Giovanni Di Fabio, Professor of Organic Chemistry, Department of Chemical Sciences, University of Napoli Federico II, Complesso Universitario Monte S. Angelo, Via Cintia 4, I-80126 Napoli, Italy. As a chemist, his program synthesizes derivatives of natural products including silibinin (the compound Agarwal lab has worked over 30 years) and Agarwal program at SSPPS evaluates their anticancer activity in several epithelial cancers.","Napoli, Italy",40.8399833,14.2525421
178,No,Japan,,Education,College of Nursing,,Pam Prag,,,,,,,,,,,,,,,,,,,,Academic support through guest lectures; potential for student exchange at the MS/PhD level; collaboration with in-country nursing program,Japan,36.655227,139.271495
179,No,Japan,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Japan,36.655227,139.271495
180,No,Japan,Shizuoka,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Japan - Shizuoka General Hospital,,,,,,,,,,,,,Japan - Shizuoka General Hospital,"Shizuoka, Japan",34.97515624,138.3832445
181,No,Kenya,Nairobi,Research,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,Wellcome-KEMRI,,,,,,,,,,,,,"African Serosurveillance Project on Endemic and New Infectious Diseases (ASPEN-ID): Working with BMGF on realizing a global serosurveillance scheme for determining prevalence of antibodies for insight into vaccine protection, diagnostic testing and research. Pilot project underway in Kenya (Wellcome-KEMRI), Malawi (Wellcome-Blantyre), South Africa (NICD) and Sierra Leone (Mercy Hospital).","Nairobi, Kenya",-1.2857857,36.8200253
182,No,Kenya,Nairobi,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Nairobi, Kenya (Africa) Start Date: 05/23/2022 - End Date: 05/29/2022","Nairobi, Kenya",-1.2857857,36.8200253
183,No,Kenya,Naivasha,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Naivasha, Kenya (Africa) Start Date: 10/01/2021 - End Date: 10/08/2021","Naivasha, Kenya",-0.8684399852,36.39029159
184,No,Kenya,Nairobi,Research,Colorado School of Public Health,,Jon Samet,,,,,,,University of Nairobi,,,,,,,,,,,,,"GEOHealth Hub for Eastern Africa: NIH-funded regional center for research and training on environmental and occupational health with focus on air pollution and heat stress. Includes Ethiopia, Uganda, and Kenya as main sites with additional training sites","Nairobi, Kenya",-1.2857857,36.8200253
185,No,Kenya,Nairobi,Research,Colorado School of Public Health,Epidemiology,Jon Samet,,,,,,,"NIH that supports the GEOHealth Hub, centered in Addis Ababa with Addis Ababa University. Makerere University in Kampala, Uganda, and the University of Nairobi, in Nairobi, Kenya. The funding is a subcontract from Columbia to the SPH and it is housed in the Department of Epidemiology",,,,,,,,,,,,,"GEOHealth Hub for Eastern Africa: NIH-funded regional center for research and training on environmental and occupational health with focus on air pollution and heat stress. Includes Ethiopia, Uganda, and Kenya as main sites with additional training sites","Nairobi, Kenya",-1.2857857,36.8200253
186,No,Kenya,Kisii,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Kisii, Kenya (Africa) Start Date: 08/21/2023 - End Date: 08/30/2023","Kisii, Kenya",-0.7758142327,34.77700585
187,No,Kenya,Watamu,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Watamu, Kenya (Africa) Start Date: 01/30/2023 - End Date: 02/24/2023","Watamu, Kenya",-3.3524945,40.0155608
188,No,Kenya,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",Kenya,0.528430658,37.88969855
189,No,Kenya,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO . Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",Kenya,0.528430658,37.88969855
190,No,Liberia,Monrovia,Research,School of Medicine,,Corey Bills MD MPH (PI),,,,,,,Liberia Ministry of Health,,,,,,,,,,,,,In collaboration with the Ministry of Health Liberia (and the Office of Emergency and Respiratory Care Services) and regional WHO office we partner to strengthen emergency care through community and facility based quality improvement research,"Monrovia, Liberia",6.3103285,-10.806742
191,No,Libya,,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,World Bank,,,,,,,,,,,,,Air Pollution Burden of Disease in Libya,Libya,27.04182158,18.03081915
192,No,Malawi,Blantyre,Research,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,Wellcome-Blantyre,,,,,,,,,,,,,"African Serosurveillance Project on Endemic and New Infectious Diseases (ASPEN-ID): Working with BMGF on realizing a global serosurveillance scheme for determining prevalence of antibodies for insight into vaccine protection, diagnostic testing and research. Pilot project underway in Kenya (Wellcome-KEMRI), Malawi (Wellcome-Blantyre), South Africa (NICD) and Sierra Leone (Mercy Hospital).","Blantyre, Malawi",-15.7862606,35.0095248
193,No,Malaysia,Sarawak,Service/Clinical,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"University Malaysia Sarawak, Malaysia",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Sarawak, Malaysia",2.586642629,113.2920453
194,No,Malaysia,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Courtney Koelsch,,,,,,,International Islamic University Malaysia,,,,,,,,,,,,,Education Exchange,Malaysia,2.5,112.5
195,No,Mexico,,Education,Colorado School of Public Health,,,,,,,,,Meixcan Social Security Institute of the United Mexican States,,,,,,,,,,,,,,Mexico,23.95282499,-102.5483534
196,No,Mexico,PÃ¡nuco,Research,Colorado School of Public Health,,"Newman (PI) (CHWE/EHOH) Adgate (EHOH), Butler-Dawson, Dally, Krisher, James, (CHWE/EHOH) Co-I, Schaeffer (CSU) Co-I, Ghosh (Bios) Co-I; R. Johnson (SOM-Renal) Co-I",,,,,,,Pantaleon,,,,,,,,,,,,,"The overall goal of this project is understanding of the causes, mechanisms, and potential strategies for prevention of the international epidemic of chronic kidney disease of unknown origin (CKDu) in females working in agriculture and living in agricultural communities sugarcane workers in Guatemala and Mexico. R01 ES031961 Air pollutants, heat exposure, and kidney health: A longitudinal study in women in Central America","PÃ¡nuco, Mexico",22.0583279,-98.1795256
197,No,Mexico,Jalisco,Research,Colorado School of Public Health,,"Newman(PI), Krisher, Dally (Co-I) CHWE/EOH",,,,,,,International Labor Organization's Vision Zero Fund,,,,,,,,,,,,,"IL-35872-20-75-K â€œA collective action approach to understanding and preventing heat-associated impacts on agricultural worker health and safety in Jalisco, Mexicoâ€. Improving workersâ€™ occupational safety and health in selected supply chains in Mexico â€“ A Vision Zero Fund Project. International Labor Organization, Cooperative Agreement to develop intervention study of heat effects on worker health outcomes.","Jalisco, Mexico",20.58077165,-103.6131719
198,No,Mexico,,Education,Colorado School of Public Health,,,,,,,,,N/A,,,,,,,,,,,,,"International Student Travel. Mexico City, Mexico (Latin America) Start Date: 10/26/2021 - End Date: 11/07/2021|Oaxaca, Mexico (Latin America) Start Date: 10/29/2021 - End Date: 11/02/2021|Mexico City, Mexico (Latin America) Start Date: 12/12/2021 - End Date: 01/23/2022|Mexico City, Mexico (Latin America) Start Date: 02/17/2022 - End Date: 02/19/2022|Oaxaca, Mexico (Latin America) Start Date: 02/19/2022 - End Date: 02/21/2022|Mexico City, Mexico (Latin America) Start Date: 02/21/2022 - End Date: 02/22/2022|Oaxaca, Mexico (Latin America) Start Date: 03/17/2022 - End Date: 03/22/2022|Mexico City, Mexico (Latin America) Start Date: 03/22/2022 - End Date: 03/27/2022|Oaxaca, Mexico (Latin America) Start Date: 04/07/2022 - End Date: 04/10/2022",Mexico,23.95282499,-102.5483534
199,No,Mexico,,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,World Health Organization,,,,,,,,,,,,,Health impacts of green space infrastructure in 6 Mexican cities,Mexico,23.95282499,-102.5483534
200,No,Mexico,Mexico City,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Jared M. Brown,,,,,,,Instituto Nacional de Cardiologia Ignacio ChÃ¡vez,,,,,,,,,,,,,"Working with multiple countries and clinicians on biopsies and sample collection including El Salvador, Mexico, India and Thailand","Mexico City, Mexico",19.4326773,-99.1342112
201,No,Nepal,,Education,College of Nursing,,Pam Prag,,,,,,,,,,,,,,,,,,,,collaboration with in-country nursing program,Nepal,28.2591377,83.94416347
202,No,Nepal,Kathmandu,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Kathmandu, Nepal (Asia) Start Date: 08/14/2022 - End Date: 08/31/2022","Kathmandu, Nepal",27.7120171,85.3129501
203,No,Nepal,Dhulikhel,Research,School of Dental Medicine,,"Trevor Williams, PhD",,,,,,,Kathmandu University School of Medical Science (KUSMS) at Dhulikhel Hospital,,,,,,,,,,,,,Oral health and craniofacial defects in Nepal citizens - Dental School Nepal,"Dhulikhel, Nepal",27.6221,85.54281
204,No,Nepal,Kathmandu,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Kathmandu, Nepal (Asia) Start Date: 08/04/2022 - End Date: 08/24/2022","Kathmandu, Nepal",27.7120171,85.3129501
205,No,Nepal,Kathmandu,Service/Clinical,School of Medicine,,Ali Musani,,,,,,,Tribhuvan University Hospital/Bicol Clinic Foundation,,,,,,,,,,,,,"Resident, fellow and faculty exchange programs, subspecialty program development, working with Project CURE to establish critical care units, dialysis, and brochoscopy programs","Kathmandu, Nepal",27.7120171,85.3129501
206,No,Nepal,Pokhara,Education,School of Medicine,Radiology,Rustain Morgan,,,,,,,Tribhuvan University (Insitute of Medicine),,,,,,,,,,,,,"4-year resident curriculum; online global health radiology course, remote teaching, conferences and communications with Nepalese counterparts, travel to Nepal, scholarly project","Pokhara, Nepal",28.26689,83.96851
207,No,Nepal,,Education,School of Medicine,Radiology,Erica Pollack,,,,,,,,,,,,,,,,,,,,Partnership with a well-established global health radiology organization with with 2 institutions in Nepal. Partnership with RAD-AID International for work. Contribute to the global grand rounds curriculum of Health4The World,Nepal,28.2591377,83.94416347
208,No,Nepal,Kathmandu,Service/Clinical,School of Medicine,,Cardiac Surgery Nepal Heart Team,,,,,,,Multiple locations,,,,,,,,,,,,,"Coordinate with local NGO for in-country activities; provide clinical support for cardiac surgery in Kathmandu, screen for cardiac diseases in rural Nepal, educate healthcare providers","Kathmandu, Nepal",27.7120171,85.3129501
209,No,Netherlands,Groningen,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Groningen, Netherlands (Europe) Start Date: 02/04/2024 - End Date: 02/29/2024","Groningen, Netherlands",53.21996245,6.564933974
210,No,Netherlands,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Michael DiStefano,,,,,,,,,,,,,,,,,,,,Research collaboration with members of Health Technology Assessment International (submitting session proposals for the 2024 HTAi and Priorities in Health conferences). Collaborators are from The Netherlands and Thailand.,Netherlands,52.24937529,5.616126398
211,No,New Zealand,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",New Zealand,-42.28723356,172.3434325
212,No,New Zealand,Auckland,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. .Auckland, New Zealand (Australia/Pacific Islands) Start Date: 01/07/2024 - End Date: 02/18/2024","Auckland, New Zealand",-36.84837878,174.7643818
213,No,New Zealand,Auckland,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,"New Zealand - Mt. Eden Pharmacy/Pharmacy 455, Selwyn Village Pharmacy",,,,,,,,,,,,,"Affiliation Agreement with New Zealand - Mt. Eden Pharmacy/Pharmacy 455, Selwyn Village Pharmacy","Auckland, New Zealand",-36.84837878,174.7643818
214,No,Nicaragua,Managua,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","Managua, Nicaragua",12.13932,-86.26096
215,No,Nicaragua,Managua,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Managua, Nicaragua",12.13932,-86.26096
216,No,Nicaragua,Managua,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Managua, Nicaragua",12.13932,-86.26096
217,No,Nicaragua,Managua,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","Managua, Nicaragua",12.13932,-86.26096
218,No,Nicaragua,San Juan del Sur,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. San Juan del Sur, Nicaragua (Central America) Start Date: 04/08/2023 - End Date: 04/19/2023","San Juan del Sur, Nicaragua",11.22083799,-85.7806264
219,No,Nicaragua,Chichigalpa,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jared M. Brown,,,,,,,La Isla Network,,,,,,,,,,,,,Working with the La Isla Network on sample collection and studies in Nicaragua on chronic kidney disease,"Chichigalpa, Nicaragua",12.57162,-87.02788
220,No,Nigeria,Lagos,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Lagos, Nigeria (Africa) Start Date: 07/17/2023 - End Date: 08/11/2023","Lagos, Nigeria",6.45407,3.39467
221,No,Palua,Koror,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Koror, Palau (Australia/Pacific Islands) Start Date: 08/08/2022 - End Date: 09/02/2022","Koror, Palua",7.3437777,134.4846039
222,No,Panama,Panama,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","Panama, Panama",8.93960446,-79.97292614
223,No,Panama,Panama,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","Panama, Panama",8.93960446,-79.97292614
224,No,Panama,Panama,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Panama, Panama",8.93960446,-79.97292614
225,No,Panama,Panama,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"Panama, Panama",8.93960446,-79.97292614
226,No,Panama,Panama,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA and Panama,,,,,,,,,,,,,Prospective treatment of neuroblastoma,"Panama, Panama",8.93960446,-79.97292614
227,No,Panama,Panama,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"Pamana Ped Oncology Institutions (Children's Panama, Children's Chiriqui, Social Security Hospitals, Oncology Insititute)",,,,,,,,,,,,,"implementaton of the WHO Global Initiative for Childhood Cancer (GICC) in Panama (early diagnosis, registry, standardization of care in liquid and solid tumors)","Panama, Panama",8.93960446,-79.97292614
228,No,Panama,Panama,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA and Panama,,,,,,,,,,,,,Prospective treatment of retinoblastoma using intra-arterial chemotherapy,"Panama, Panama",8.93960446,-79.97292614
229,No,Panama,Panama City,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Panama City, Panama (Central America) Start Date: 09/02/2023 - End Date: 09/09/2023","Panama City, Panama",8.9673,-79.5339
230,No,Peru,,Education,College of Nursing,,Pam Prag,,,,,,,,,,,,,,,,,,,,"Academic support of new nursing program; faculty engagement through collaborative scholarship activities, interest in development of faculty exchange; potential site for UG Comm/Pop Health clinical immersion, research, DNP student placement",Peru,-10,-76
231,No,Peru,Lima,Education,Colorado School of Public Health,,,,,,,,,Universidad Peruana Cayetano Heredia,,,,,,,,,,,,,,"Lima, Peru",-12.04318,-77.02824
232,No,Peru,Lima,Service/Clinical,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Cayetano Heredia University, Lima, Peru (Contacts: Eduardo Gotuzzo, Rodrigo Cachay)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Lima, Peru",-12.04318,-77.02824
233,No,Peru,Guayakil,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","Guayakil, Peru",-10,-76
234,No,Peru,Iquitos,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Iquitos, Peru (South America) Start Date: 08/24/2023 - End Date: 09/04/2023","Iquitos, Peru",-3.7491508,-73.2594357
235,No,Peru,Quito,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","Quito, Peru",-7.16996,-79.46357
236,No,Philippines,Manilla,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Manila, Philippines (Asia) Start Date: 06/26/2022 - End Date: 01/23/2023","Manilla, Philippines",14.6042,120.9822
237,No,Philippines,Legaspi,Service/Clinical,School of Medicine,,Ali Musani,,,,,,,Legaspi city Hospital,,,,,,,,,,,,,"Resident, fellow and faculty exchange programs, subspecialty program development, working with Project CURE to establish critical care units, dialysis, and brochoscopy programs","Legaspi, Philippines",13.14125,123.74073
238,No,Puerto Rico,Ponce,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Ponce, Puerto Rico (North America) Start Date: 01/29/2024 - End Date: 02/28/2024","Ponce, Puerto Rico",18.0126282,-66.6260381
239,No,Puerto Rico,San Juan,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,University of Puerto Rico,,,,,,,,,,,,,Affiliation Agreement with University of Puerto Rico,"San Juan, Puerto Rico",18.466302,-66.105229
240,No,Qatar,Doha,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jodie Malhotra,,,,,,,"COLLEGE OF PHARMACY 
 
 QATAR UNIVERSITY",,,,,,,,,,,,,,"Doha, Qatar",25.2816415,51.5242998
241,No,Qatar,Doha,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Joseph Saseen,,,,,,,Qatar Primary Health Care Corporation,,,,,,,,,,,,,Ambulatory Care Training Program for Qatar Primary Health Care Corporation. Provided practical and theoretical training of 20 Qatar pharmacists to provide direct patient care in the primary care setting. This was over a 6- month period of time in 2018-2019. We are assessing the impact of these 20 pharmacists on improving disease state management and are submitting an invited proposal to train a second cohort of pharmacists.,"Doha, Qatar",25.2816415,51.5242998
242,No,Qatar,Doha,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,"Qatar - Al Wakra Hospital, Hamad General Hospital and Hamad General Hospital ER",,,,,,,,,,,,,"Affiliation Agreement with Qatar - Al Wakra Hospital, Hamad General Hospital and Hamad General Hospital ER","Doha, Qatar",25.2816415,51.5242998
243,No,Romania,Bucharest,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Farmacia Catena Corola,,,,,,,,,,,,,Affiliation agreement with Romania - Farmacia Catena Corola - 10 year term,"Bucharest, Romania",44.4355816,26.1022199
244,No,Rwanda,Kigali,Research,Colorado School of Public Health,Epidemiology,MPIs: Maggie Clark / John Vockens,,,,,,,University of Rwanda,,,,,,,,,,,,,"SHEAR is a randomized controlled trial substituting traditional forms of household energy (biomass for cooking and kerosene for lighting) with solar power and liquefied petroleum gas [LPG] stoves in rural Rwanda. Participants will be followed for 3 years with repeated measurements of household air pollution exposure (24-hour fine particulate matter [PM2.5] and black carbon [BC]), energy use, and health. Primary health endpoints will include blood pressure (BP) in adults and lung-function growth in children. Analyses will be conducted in intent-to-treat (ITT) and exposure-response frameworks. To complement the trial, a random-subsidy arm (i.e., random-encouragement design using randomized energy costs) will generate policy-relevant information on causal relationships between energy costs, solar and LPG usage, and air pollution exposures. Partnering institutions are University of Rwanda and MeshPower Ltd.","Kigali, Rwanda",-1.9449562,30.0620453
245,No,Rwanda,Kigali,Education,School of Medicine,Pediatrics,Leana May Moser,,,,,,,University of Health Equity,,,,,,,,,,,,,"Serve as volunteer faculty, helping develop and deliver pediatric curriculum for the medical students","Kigali, Rwanda",-1.9449562,30.0620453
246,No,Rwanda,Kigali,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International student travel. Kigali, Rwanda (Africa) Start Date: 07/20/2022 - End Date: 09/02/2022","Kigali, Rwanda",-1.9449562,30.0620453
247,No,Saudi Arabia,,Service/Clinical,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,World Health Organization,,,,,,,,,,,,,Health and economic impacts of environmental risk factors in 6 Gulf Councill Cooperation Countries,Saudi Arabia,24.12136953,44.54882706
248,No,Senegal,Dakar,Research,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Institut Pasteur Dakar, Senegal (Contact: Amadou Sall)",,,,,,,,,,,,,"Reconciliation of Cohort Data for Infectious Diseases. Funded by the European Commission ending in Dec. 2023. This is based out of Heidelberg, Germany. Thomas Jaenisch is the overall PI (wearing Heidelberg hat) and the PI for Colorado. The work in Colorado focusses on harmonization for Serosurveillance and on virtual biorepositories.","Dakar, Senegal",14.6954268,-17.4485785
249,No,Sierra Leone,,Research,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,Mercy Hospital,,,,,,,,,,,,,"African Serosurveillance Project on Endemic and New Infectious Diseases (ASPEN-ID): Working with BMGF on realizing a global serosurveillance scheme for determining prevalence of antibodies for insight into vaccine protection, diagnostic testing and research. Pilot project underway in Kenya (Wellcome-KEMRI), Malawi (Wellcome-Blantyre), South Africa (NICD) and Sierra Leone (Mercy Hospital).",Sierra Leone,8.558037771,-11.79203178
250,No,Sierra Leone,,Research,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,,,,,,,,,,,,,,Working through American Public Health Laboratories and the Global Fund in kind as a mentor to create public health laboratory work force capacity buidling . Program is active in Sierra Leone,Sierra Leone,8.558037771,-11.79203178
251,No,Sierra Leone,Njala,Service/Clinical,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Njala University, Sierra Leone (Contacts: Rashid Ansumana, Ibrahim Swaray)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Njala, Sierra Leone",8.1979845,-11.4598426
252,No,Singapore,Singapore,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Singapore, Singapore (Asia) Start Date: 07/01/2023 - End Date: 07/09/2023","Singapore, Singapore",1.2894365,103.8499802
